LSOA_code,Total: All households,Household is not deprived in any dimension,Household is deprived in one dimension,Household is deprived in two dimensions,Household is deprived in three dimensions,Household is deprived in four dimensions
E01011548 : Leeds 106D,642,326,218,82,16,0
E01011550 : Leeds 106E,561,290,204,61,5,1
E01011537 : Leeds 107A,965,466,338,127,34,0
E01011538 : Leeds 107B,693,291,214,136,46,6
E01011551 : Leeds 107C,731,447,199,67,18,0
E01011552 : Leeds 107D,598,206,194,144,49,5
E01011535 : Leeds 108A,688,423,203,50,12,0
E01011536 : Leeds 108B,704,373,235,78,16,2
E01011549 : Leeds 108C,519,347,145,25,2,0
E01011553 : Leeds 108D,613,323,201,78,11,0
E01011685 : Leeds 109A,850,581,217,43,8,1
E01011687 : Leeds 109B,588,359,164,50,14,1
E01011690 : Leeds 109C,664,374,220,67,3,0
E01011692 : Leeds 109D,719,438,219,54,8,0
E01011693 : Leeds 109E,761,475,210,57,15,4
E01011694 : Leeds 109F,731,454,205,56,15,1
E01032876 : Leeds 109G,624,432,152,39,1,0
E01011442 : Leeds 110A,624,308,213,90,12,1
E01011443 : Leeds 110B,718,321,281,84,27,5
E01011444 : Leeds 110C,625,244,262,105,13,1
E01011451 : Leeds 110D,526,292,162,55,14,3
E01011668 : Leeds 110E,601,278,206,95,19,3
E01011669 : Leeds 110F,524,268,174,74,8,0
E01032946 : Leeds 110G,834,445,279,96,14,0
E01033008 : Leeds 111A,595,295,248,46,6,0
E01033010 : Leeds 111B,766,421,287,47,10,1
E01033011 : Leeds 111C,746,481,220,41,4,0
E01033015 : Leeds 111D,935,647,245,38,5,0
E01033016 : Leeds 111E,703,480,158,42,20,3
E01011467 : Leeds 112A,815,392,255,126,41,1
E01011468 : Leeds 112B,918,375,284,177,76,6
E01011470 : Leeds 112C,599,219,215,122,41,2
E01035054 : Leeds 112F,1380,1052,277,47,4,0
,,,,,,
,,,,,,
,,,,,,
,"In order to protect against disclosure of personal information, records",,,,,
,have been swapped between different geographic areas and counts perturbed,,,,,
,by small amounts. Small counts at the lowest geographies will be most,,,,,
,affected.,,,,,
